id,category,modality,text,expected_label,difficulty,rationale,language,pii_scrubbed
hc-034,romance_pig_butchering,chat,"The first deposit can be small. Once you see the profit, we can plan our trip together. Please do it before the analyst closes the group.",scam,hard,"Low initial ask and shared future are used to lower skepticism.",en,true
hc-035,romance_pig_butchering,chat,"My aunt works with gold futures and rarely invites outsiders. I told her you are special to me, so she agreed to help you start.",scam,medium,"Appeals to insider access through a romantic relationship.",en,true
hc-036,romance_pig_butchering,chat,"I know your family doubts us. Prove you trust me by moving the savings to the platform for one week, then withdraw the profit.",scam,hard,"Trust test and savings transfer are high-risk manipulation.",en,true
hc-037,romance_pig_butchering,chat,"I booked our meeting, but my account is frozen because of a verification issue. If you help with the release fee, I will repay you at the airport.",scam,medium,"Travel romance setup turns into fee advance fraud.",en,true
hc-038,romance_pig_butchering,chat,"Don't tell anyone yet. People who do not understand investing will ruin this opportunity for us. I only shared it because I care about you.",scam,hard,"Isolation from outside advice is a major scam signal.",en,true
hc-039,romance_pig_butchering,chat,"The app shows your profit already. To unlock withdrawal, customer service says you need one more verification deposit.",scam,easy,"Withdrawal fee after apparent profit is a pig-butchering hallmark.",en,true
hc-040,romance_pig_butchering,chat,"I am embarrassed, but my child needs medicine and my wallet app is frozen. Could you send a loan? I promise this does not change what we have.",scam,medium,"Emotional intimacy plus urgent medical expense request.",en,true
hc-041,package_redelivery_bank_payment_phishing,sms,"Delivery attempt failed. Confirm your address and pay a small redelivery fee today to avoid return to sender.",scam,easy,"Classic delivery-fee lure with urgency.",en,true
hc-042,package_redelivery_bank_payment_phishing,sms,"Your bank card was temporarily limited after an unusual login. Verify recent activity in the secure form before midnight.",scam,medium,"Bank-security framing asks user to verify through an unspecified form.",en,true
hc-043,package_redelivery_bank_payment_phishing,email,"A parcel is waiting in the warehouse. Storage fees begin tomorrow unless the recipient confirms payment details now.",scam,easy,"Package pressure plus payment-details request.",en,true
hc-044,package_redelivery_bank_payment_phishing,sms,"Payment declined for your toll balance. Settle the amount today to prevent administrative penalties.",scam,medium,"Small debt and penalty threat are common payment phishing tactics.",en,true
hc-045,package_redelivery_bank_payment_phishing,email,"Your mobile wallet was disabled for safety. Reconfirm identity and card details to restore contactless payments.",scam,medium,"Identity/card reconfirmation request is suspicious.",en,true
hc-046,package_redelivery_bank_payment_phishing,sms,"Courier notice: customs requires a release payment before your item can move. Unpaid parcels are discarded after 24 hours.",scam,medium,"Customs-release fee and tight deadline create urgency.",en,true
hc-047,package_redelivery_bank_payment_phishing,email,"We detected a new payee added to your account. If this was not you, complete the cancellation form immediately.",scam,hard,"Security warning pushes the user into a phishing form.",en,true
hc-048,package_redelivery_bank_payment_phishing,sms,"Subscription renewal failed. Update billing information now or your stored files will be deleted.",scam,medium,"Payment update request with data-loss threat.",en,true
hc-049,package_redelivery_bank_payment_phishing,email,"Your tax refund is pending because banking details could not be validated. Submit corrected payment information to continue.",scam,medium,"Government/refund framing asks for banking information.",en,true
hc-050,package_redelivery_bank_payment_phishing,sms,"A package has been rescheduled three times. Final delivery requires confirmation of recipient identity and a refundable handling charge.",scam,hard,"Blends identity confirmation with a small refundable charge.",en,true
